date,credit_spread_baa_aaa
2021-03-01,0.007
2021-04-01,0.007
2021-05-01,0.0066
2021-06-01,0.0065
2021-07-01,0.0067
2021-08-01,0.0069
2021-09-01,0.007
2021-10-01,0.0067
2021-11-01,0.0066
2021-12-01,0.0065
2022-01-01,0.0065
2022-02-01,0.0072
2022-03-01,0.0086
2022-04-01,0.009
2022-05-01,0.0099
2022-06-01,0.0103
2022-07-01,0.0115
2022-08-01,0.0108
2022-09-01,0.011
2022-10-01,0.0116
2022-11-01,0.0117
2022-12-01,0.0116
2023-01-01,0.011
2023-02-01,0.0103
2023-03-01,0.0111
2023-04-01,0.0106
2023-05-01,0.011
2023-06-01,0.011
2023-07-01,0.0108
2023-08-01,0.0107
2023-09-01,0.0103
2023-10-01,0.0102
2023-11-01,0.0101
2023-12-01,0.009
2024-01-01,0.0081
2024-02-01,0.0074
2024-03-01,0.0074
2024-04-01,0.0072
2024-05-01,0.007
2024-06-01,0.0069
2024-07-01,0.0072
2024-08-01,0.0073
2024-09-01,0.0074
2024-10-01,0.0068
2024-11-01,0.0064
2024-12-01,0.006
2025-01-01,0.0062
2025-02-01,0.006
2025-03-01,0.0064
2025-04-01,0.0073
2025-05-01,0.0075
2025-06-01,0.0069
2025-07-01,0.0065
2025-08-01,0.0065
2025-09-01,0.0062
2025-10-01,0.0061
2025-11-01,0.006
2025-12-01,0.0059
2026-01-01,0.0054
2026-02-01,0.0051
