feature,VIF,high_collinearity
X2_beta_ewm_hl20_z,262.81516858169874,True
V3_hl20_z,183.97428602217678,True
X1_corr_ewm_hl20_z,155.3502530713774,True
V3_hl10_z,130.95336683598217,True
X2_beta_ewm_hl10_z,107.148161215344,True
X1_corr_ewm_hl10_z,71.24671792107046,True
X1_corr_42_z,63.08524977401591,True
X2_beta_42_z,51.53806248122318,True
S1_hl20_z,40.8746929259195,True
S1_hl10_z,27.516297139779212,True
V2_z,26.708787647781254,True
vix_close_z,24.229025757511994,True
V1_z,18.703396880775202,True
spx_close_z,17.975507075461742,True
V1'_z,16.93973502011991,True
M_LV_MOVE_level_z,15.2808818451047,True
D1_z,12.798384817876936,True
curve_10y_2y_z,11.134514435814735,True
credit_spread_baa_aaa_z,10.635887094685026,True
X2_beta_63_z,10.196611358781817,True
M2_z,6.18644576930134,True
M1_z,2.7653161455552073,False
M_CH_MOVE_d21_z,2.6987189542517496,False
M_CH_MOVE_d14_z,2.4862066167993855,False
R2_z,2.383073329328984,False
X3_mom_diff_42_z,1.8901968274023984,False
R1_z,1.2736259340513578,False
