date,vol_bucket,risk_regime
2021-05-19,Mid_Vol,Risk-Off
2021-05-20,High_Vol,Risk-Off
2021-05-21,High_Vol,Risk-Off
2021-05-24,High_Vol,Risk-Off
2021-05-25,High_Vol,Risk-Off
2021-05-26,High_Vol,Risk-Off
2021-05-27,Mid_Vol,Risk-Off
2021-05-28,Mid_Vol,Risk-Off
2021-06-01,Mid_Vol,Risk-Off
2021-06-02,Low_Vol,Risk-Off
2021-06-03,Low_Vol,Risk-Off
2021-06-04,Low_Vol,Risk-Off
2021-06-07,Low_Vol,Risk-Off
2021-06-08,Low_Vol,Risk-Off
2021-06-09,Low_Vol,Risk-Off
2021-06-10,Low_Vol,Risk-Off
2021-06-11,Low_Vol,Risk-Off
2021-06-14,Low_Vol,Risk-Off
2021-06-15,Low_Vol,Risk-Off
2021-06-16,Low_Vol,Risk-Off
2021-06-17,Low_Vol,Risk-Off
2021-06-21,Low_Vol,Risk-Off
2021-06-22,Low_Vol,Risk-Off
2021-06-23,Low_Vol,Risk-Off
2021-06-24,Low_Vol,Risk-Off
2021-06-25,Low_Vol,Risk-Off
2021-06-28,Low_Vol,Risk-Off
2021-06-29,Low_Vol,Risk-Off
2021-06-30,Low_Vol,Risk-Off
2021-07-01,Low_Vol,Risk-Off
2021-07-02,Low_Vol,Risk-Off
2021-07-06,Low_Vol,Risk-Off
2021-07-07,Low_Vol,Risk-Off
2021-07-08,Low_Vol,Risk-Off
2021-07-09,Low_Vol,Risk-Off
2021-07-12,Low_Vol,Risk-Off
2021-07-13,Low_Vol,Risk-Off
2021-07-14,Low_Vol,Risk-Off
2021-07-15,Low_Vol,Risk-Off
2021-07-16,Low_Vol,Risk-Off
2021-07-19,Low_Vol,Risk-Off
2021-07-20,Mid_Vol,Risk-Off
2021-07-21,Mid_Vol,Risk-Off
2021-07-22,Mid_Vol,Risk-Off
2021-07-23,Mid_Vol,Risk-Off
2021-07-26,Mid_Vol,Risk-Off
2021-07-27,Mid_Vol,Risk-Off
2021-07-28,Mid_Vol,Risk-Off
2021-07-29,Mid_Vol,Risk-Off
2021-07-30,Mid_Vol,Risk-Off
2021-08-02,Mid_Vol,Risk-Off
2021-08-03,Mid_Vol,Risk-Off
2021-08-04,Mid_Vol,Risk-Off
2021-08-05,Low_Vol,Risk-Off
2021-08-06,Low_Vol,Risk-Off
2021-08-09,Low_Vol,Risk-Off
2021-08-10,Low_Vol,Risk-Off
2021-08-11,Low_Vol,Risk-Off
2021-08-12,Low_Vol,Risk-Off
2021-08-13,Low_Vol,Risk-Off
2021-08-16,Low_Vol,Risk-Off
2021-08-17,Low_Vol,Risk-Off
2021-08-18,Low_Vol,Risk-Off
2021-08-19,Low_Vol,Risk-Off
2021-08-20,Low_Vol,Risk-Off
2021-08-23,Low_Vol,Risk-Off
2021-08-24,Low_Vol,Risk-Off
2021-08-25,Low_Vol,Risk-Off
2021-08-26,Low_Vol,Risk-Off
2021-08-27,Low_Vol,Risk-Off
2021-08-30,Low_Vol,Risk-Off
2021-08-31,Low_Vol,Risk-Off
2021-09-01,Low_Vol,Risk-Off
2021-09-02,Low_Vol,Risk-Off
2021-09-03,Low_Vol,Risk-Off
2021-09-07,Low_Vol,Risk-Off
2021-09-08,Low_Vol,Risk-Off
2021-09-09,Low_Vol,Risk-Off
2021-09-10,Low_Vol,Risk-Off
2021-09-13,Low_Vol,Risk-Off
2021-09-14,Low_Vol,Risk-Off
2021-09-15,Low_Vol,Risk-Off
2021-09-16,Low_Vol,Risk-Off
2021-09-17,Low_Vol,Risk-Off
2021-09-20,Low_Vol,Risk-Off
2021-09-21,Low_Vol,Risk-Off
2021-09-22,Mid_Vol,Risk-Off
2021-09-23,Mid_Vol,Risk-Off
2021-09-24,Mid_Vol,Risk-Off
2021-09-27,Mid_Vol,Risk-Off
2021-09-28,Mid_Vol,Risk-Off
2021-09-29,Mid_Vol,Risk-Off
2021-09-30,Mid_Vol,Risk-Off
2021-10-01,High_Vol,Risk-Off
2021-10-04,High_Vol,Risk-Off
2021-10-05,High_Vol,Risk-Off
2021-10-06,High_Vol,Risk-Off
2021-10-07,High_Vol,Risk-Off
2021-10-08,Mid_Vol,Risk-Off
2021-10-12,Mid_Vol,Risk-Off
2021-10-13,Mid_Vol,Risk-On
2021-10-14,High_Vol,Risk-On
2021-10-15,High_Vol,Risk-Off
2021-10-18,Mid_Vol,Risk-Off
2021-10-19,Mid_Vol,Risk-Off
2021-10-20,Mid_Vol,Risk-Off
2021-10-21,Mid_Vol,Risk-Off
