date,value
2021-03-01,3.74
2021-04-01,3.6
2021-05-01,3.62
2021-06-01,3.44
2021-07-01,3.24
2021-08-01,3.24
2021-09-01,3.23
2021-10-01,3.35
2021-11-01,3.28
2021-12-01,3.3
2022-01-01,3.58
2022-02-01,3.97
2022-03-01,4.29
2022-04-01,4.66
2022-05-01,5.12
2022-06-01,5.27
2022-07-01,5.21
2022-08-01,5.15
2022-09-01,5.69
2022-10-01,6.26
2022-11-01,6.07
2022-12-01,5.59
2023-01-01,5.5
2023-02-01,5.59
2023-03-01,5.71
2023-04-01,5.53
2023-05-01,5.77
2023-06-01,5.75
2023-07-01,5.74
2023-08-01,6.02
2023-09-01,6.16
2023-10-01,6.63
2023-11-01,6.29
2023-12-01,5.64
2024-01-01,5.68
2024-02-01,5.77
2024-03-01,5.75
2024-04-01,6.0
2024-05-01,5.95
2024-06-01,5.82
2024-07-01,5.84
2024-08-01,5.6
2024-09-01,5.42
2024-10-01,5.63
2024-11-01,5.78
2024-12-01,5.8
2025-01-01,6.08
2025-02-01,5.92
2025-03-01,5.93
2025-04-01,6.18
2025-05-01,6.29
2025-06-01,6.15
2025-07-01,6.1
2025-08-01,6.0
2025-09-01,5.83
2025-10-01,5.74
2025-11-01,5.86
2025-12-01,5.9
2026-01-01,5.88
2026-02-01,5.81
